CONCLIENTE,dataNascimentoCliente,sexoCliente,CONINSCRICAO,CONPRODUTO,periodicidadeCobranca,parcelamento,CONITEMCONTRATADO,codigoSistemaItemContratado,dataInicioVigenciaCobertura,prazoContribuicao,prazoCobertura,prazoDecrescimoItemContratado,prazoCertoRendaItemContratado,prazoMinimoGarantidoRendaItemContratado,indiceReajusteItemContratado,valorCapitalSeguradoItemContratadoInicial,CONITEMCONTRATADOBENEFICIARIO,percentualParticipacaoBeneficio,CONBENEFICIARIO,dataNascimentoBeneficiario,sexoBeneficiario
2993826,1980-03-26,F,16301876,919,ÚNICA,1,95849450,203403,2022-01-11,10,9999,10.0,,,IPCA,400000.0,,,,,
6359754,1984-09-17,F,16299510,1075,MENSAL,1,95849451,204375,2022-01-07,20,9999,20.0,,,IPCA,600000.0,1830959.0,30.0,3633038.0,2013-06-10,MASCULINO
6359754,1984-09-17,F,16299510,1075,MENSAL,1,95849451,204375,2022-01-07,20,9999,20.0,,,IPCA,600000.0,1831214.0,20.0,3633039.0,1985-10-10,MASCULINO
6359754,1984-09-17,F,16299510,1075,MENSAL,1,95849451,204375,2022-01-07,20,9999,20.0,,,IPCA,600000.0,1831469.0,30.0,3633037.0,2014-07-01,MASCULINO
6359754,1984-09-17,F,16299510,1075,MENSAL,1,95849451,204375,2022-01-07,20,9999,20.0,,,IPCA,600000.0,1831826.0,20.0,3633040.0,1962-07-03,FEMININO
7596395,1987-03-22,F,16301591,1072,MENSAL,1,95849471,204377,2022-01-31,30,30,,,,IPCA,500000.0,1856409.0,100.0,3633298.0,1977-10-12,MASCULINO
7594561,1984-05-02,M,16299564,1072,MENSAL,1,95849478,204377,2022-01-07,15,15,,,,IPCA,750000.0,1855923.0,100.0,3633080.0,1988-05-14,MASCULINO
7594494,1978-02-02,M,16299480,1072,MENSAL,1,95849486,204377,2022-01-07,15,15,,,,IPCA,400000.0,,,,,
4867718,1965-05-14,M,16301708,1072,MENSAL,1,95849529,204377,2022-01-31,10,10,,,,IPCA,400000.0,1880009.0,50.0,3633315.0,1986-07-21,MASCULINO
4867718,1965-05-14,M,16301708,1072,MENSAL,1,95849529,204377,2022-01-31,10,10,,,,IPCA,400000.0,1880265.0,50.0,2152737.0,2005-03-01,MASCULINO
